Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,066214,2024,10,29,24.6
IDCJAC0016,066214,2024,10,30,26.5
IDCJAC0016,066214,2024,10,31,23.2
IDCJAC0016,066214,2024,11,01,23.2
IDCJAC0016,066214,2024,11,02,10.4
IDCJAC0016,066214,2024,11,03,20.0
IDCJAC0016,066214,2024,11,04,8.1
IDCJAC0016,066214,2024,11,05,14.5
IDCJAC0016,066214,2024,11,06,24.5
IDCJAC0016,066214,2024,11,07,11.5
IDCJAC0016,066214,2024,11,08,29.0
IDCJAC0016,066214,2024,11,09,20.4
IDCJAC0016,066214,2024,11,10,22.6
IDCJAC0016,066214,2024,11,11,6.3
IDCJAC0016,066214,2024,11,12,16.3
IDCJAC0016,066214,2024,11,13,16.1
IDCJAC0016,066214,2024,11,14,13.3
IDCJAC0016,066214,2024,11,15,7.8
IDCJAC0016,066214,2024,11,16,15.6
IDCJAC0016,066214,2024,11,17,23.5
IDCJAC0016,066214,2024,11,18,23.3
IDCJAC0016,066214,2024,11,19,19.7
IDCJAC0016,066214,2024,11,20,25.7
IDCJAC0016,066214,2024,11,21,28.7
IDCJAC0016,066214,2024,11,22,30.2
IDCJAC0016,066214,2024,11,23,30.6
IDCJAC0016,066214,2024,11,24,29.5
IDCJAC0016,066214,2024,11,25,30.2
IDCJAC0016,066214,2024,11,26,30.2
IDCJAC0016,066214,2024,11,27,26.1
IDCJAC0016,066214,2024,11,28,11.8
IDCJAC0016,066214,2024,11,29,5.4
IDCJAC0016,066214,2024,11,30,
IDCJAC0016,066214,2024,12,01,22.2
IDCJAC0016,066214,2024,12,02,28.5
IDCJAC0016,066214,2024,12,03,15.4
IDCJAC0016,066214,2024,12,04,26.3
IDCJAC0016,066214,2024,12,05,20.8
IDCJAC0016,066214,2024,12,06,26.0
IDCJAC0016,066214,2024,12,07,9.6
IDCJAC0016,066214,2024,12,08,16.8
IDCJAC0016,066214,2024,12,09,10.0
IDCJAC0016,066214,2024,12,10,28.4
IDCJAC0016,066214,2024,12,11,28.0
IDCJAC0016,066214,2024,12,12,31.9
IDCJAC0016,066214,2024,12,13,31.5
IDCJAC0016,066214,2024,12,14,29.4
IDCJAC0016,066214,2024,12,15,22.0
IDCJAC0016,066214,2024,12,16,30.9
IDCJAC0016,066214,2024,12,17,31.6
IDCJAC0016,066214,2024,12,18,20.3
IDCJAC0016,066214,2024,12,19,27.3
IDCJAC0016,066214,2024,12,20,31.9
IDCJAC0016,066214,2024,12,21,31.6
IDCJAC0016,066214,2024,12,22,26.5
IDCJAC0016,066214,2024,12,23,31.6
IDCJAC0016,066214,2024,12,24,32.1
IDCJAC0016,066214,2024,12,25,32.0
IDCJAC0016,066214,2024,12,26,32.0
IDCJAC0016,066214,2024,12,27,26.1
IDCJAC0016,066214,2024,12,28,27.4
IDCJAC0016,066214,2024,12,29,31.3
IDCJAC0016,066214,2024,12,30,30.8
IDCJAC0016,066214,2024,12,31,23.5
