Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,040913,2024,07,13,10.5,1,Y
IDCJAC0011,040913,2024,07,14,11.1,1,Y
IDCJAC0011,040913,2024,07,15,8.5,1,Y
IDCJAC0011,040913,2024,07,16,7.4,1,Y
IDCJAC0011,040913,2024,07,17,10.0,1,Y
IDCJAC0011,040913,2024,07,18,10.9,1,Y
IDCJAC0011,040913,2024,07,19,8.3,1,Y
IDCJAC0011,040913,2024,07,20,10.0,1,Y
IDCJAC0011,040913,2024,07,21,11.5,1,Y
IDCJAC0011,040913,2024,07,22,8.4,1,Y
IDCJAC0011,040913,2024,07,23,8.0,1,Y
IDCJAC0011,040913,2024,07,24,10.6,1,Y
IDCJAC0011,040913,2024,07,25,12.5,1,Y
IDCJAC0011,040913,2024,07,26,10.9,1,Y
IDCJAC0011,040913,2024,07,27,12.0,1,Y
IDCJAC0011,040913,2024,07,28,14.0,1,Y
IDCJAC0011,040913,2024,07,29,6.3,1,Y
IDCJAC0011,040913,2024,07,30,6.7,1,Y
IDCJAC0011,040913,2024,07,31,7.9,1,Y
IDCJAC0011,040913,2024,08,01,8.0,1,Y
IDCJAC0011,040913,2024,08,02,7.1,1,Y
IDCJAC0011,040913,2024,08,03,9.2,1,Y
IDCJAC0011,040913,2024,08,04,9.1,1,Y
IDCJAC0011,040913,2024,08,05,12.7,1,Y
IDCJAC0011,040913,2024,08,06,13.7,1,Y
IDCJAC0011,040913,2024,08,07,11.3,1,Y
IDCJAC0011,040913,2024,08,08,11.3,1,Y
IDCJAC0011,040913,2024,08,09,13.0,1,Y
IDCJAC0011,040913,2024,08,10,11.2,1,Y
IDCJAC0011,040913,2024,08,11,14.1,1,Y
IDCJAC0011,040913,2024,08,12,15.2,1,Y
IDCJAC0011,040913,2024,08,13,17.3,1,Y
IDCJAC0011,040913,2024,08,14,17.4,1,Y
IDCJAC0011,040913,2024,08,15,17.6,1,Y
IDCJAC0011,040913,2024,08,16,18.3,1,Y
IDCJAC0011,040913,2024,08,17,12.2,1,Y
IDCJAC0011,040913,2024,08,18,10.2,1,Y
IDCJAC0011,040913,2024,08,19,11.4,1,Y
IDCJAC0011,040913,2024,08,20,14.0,1,Y
IDCJAC0011,040913,2024,08,21,13.7,1,Y
IDCJAC0011,040913,2024,08,22,14.2,1,Y
IDCJAC0011,040913,2024,08,23,17.0,1,Y
IDCJAC0011,040913,2024,08,24,13.2,1,Y
IDCJAC0011,040913,2024,08,25,14.5,1,Y
IDCJAC0011,040913,2024,08,26,16.0,1,Y
IDCJAC0011,040913,2024,08,27,18.1,1,Y
IDCJAC0011,040913,2024,08,28,19.3,1,Y
IDCJAC0011,040913,2024,08,29,16.8,1,Y
IDCJAC0011,040913,2024,08,30,13.0,1,Y
IDCJAC0011,040913,2024,08,31,16.0,1,Y
IDCJAC0011,040913,2024,09,01,16.6,1,Y
IDCJAC0011,040913,2024,09,02,17.6,1,Y
IDCJAC0011,040913,2024,09,03,15.3,1,Y
IDCJAC0011,040913,2024,09,04,11.6,1,Y
IDCJAC0011,040913,2024,09,05,12.0,1,Y
IDCJAC0011,040913,2024,09,06,12.3,1,Y
IDCJAC0011,040913,2024,09,07,12.4,1,Y
IDCJAC0011,040913,2024,09,08,12.9,1,Y
IDCJAC0011,040913,2024,09,09,14.8,1,Y
IDCJAC0011,040913,2024,09,10,18.7,1,Y
IDCJAC0011,040913,2024,09,11,17.1,1,Y
IDCJAC0011,040913,2024,09,12,15.4,1,Y
IDCJAC0011,040913,2024,09,13,15.1,1,Y
IDCJAC0011,040913,2024,09,14,13.3,1,Y
IDCJAC0011,040913,2024,09,15,12.5,1,Y
IDCJAC0011,040913,2024,09,16,12.7,1,Y
IDCJAC0011,040913,2024,09,17,12.3,1,Y
IDCJAC0011,040913,2024,09,18,13.9,1,Y
IDCJAC0011,040913,2024,09,19,14.9,1,Y
IDCJAC0011,040913,2024,09,20,13.6,1,Y
IDCJAC0011,040913,2024,09,21,14.9,1,Y
IDCJAC0011,040913,2024,09,22,14.1,1,Y
IDCJAC0011,040913,2024,09,23,14.3,1,Y
IDCJAC0011,040913,2024,09,24,15.5,1,Y
IDCJAC0011,040913,2024,09,25,14.9,1,Y
IDCJAC0011,040913,2024,09,26,14.1,1,Y
IDCJAC0011,040913,2024,09,27,16.0,1,Y
IDCJAC0011,040913,2024,09,28,14.3,1,Y
IDCJAC0011,040913,2024,09,29,16.5,1,Y
IDCJAC0011,040913,2024,09,30,15.6,1,Y
IDCJAC0011,040913,2024,10,01,15.9,1,Y
