Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,066214,2024,08,22,23.7,1,Y
IDCJAC0010,066214,2024,08,23,22.9,1,Y
IDCJAC0010,066214,2024,08,24,26.9,1,Y
IDCJAC0010,066214,2024,08,25,23.1,1,Y
IDCJAC0010,066214,2024,08,26,24.9,1,Y
IDCJAC0010,066214,2024,08,27,23.5,1,Y
IDCJAC0010,066214,2024,08,28,28.1,1,Y
IDCJAC0010,066214,2024,08,29,24.5,1,Y
IDCJAC0010,066214,2024,08,30,30.3,1,Y
IDCJAC0010,066214,2024,08,31,24.8,1,Y
IDCJAC0010,066214,2024,09,01,27.4,1,Y
IDCJAC0010,066214,2024,09,02,25.2,1,Y
IDCJAC0010,066214,2024,09,03,19.9,1,Y
IDCJAC0010,066214,2024,09,04,21.6,1,Y
IDCJAC0010,066214,2024,09,05,27.8,1,Y
IDCJAC0010,066214,2024,09,06,29.7,1,Y
IDCJAC0010,066214,2024,09,07,25.5,1,Y
IDCJAC0010,066214,2024,09,08,19.8,1,Y
IDCJAC0010,066214,2024,09,09,25.6,1,Y
IDCJAC0010,066214,2024,09,10,24.1,1,Y
IDCJAC0010,066214,2024,09,11,22.7,1,Y
IDCJAC0010,066214,2024,09,12,20.7,1,Y
IDCJAC0010,066214,2024,09,13,19.6,1,Y
IDCJAC0010,066214,2024,09,14,23.4,1,Y
IDCJAC0010,066214,2024,09,15,16.5,1,Y
IDCJAC0010,066214,2024,09,16,19.9,1,Y
IDCJAC0010,066214,2024,09,17,22.0,1,Y
IDCJAC0010,066214,2024,09,18,26.9,1,Y
IDCJAC0010,066214,2024,09,19,27.4,1,Y
IDCJAC0010,066214,2024,09,20,26.1,1,Y
IDCJAC0010,066214,2024,09,21,25.7,1,Y
IDCJAC0010,066214,2024,09,22,26.5,1,Y
IDCJAC0010,066214,2024,09,23,29.5,1,Y
IDCJAC0010,066214,2024,09,24,24.6,1,Y
IDCJAC0010,066214,2024,09,25,26.9,1,Y
IDCJAC0010,066214,2024,09,26,15.4,1,Y
IDCJAC0010,066214,2024,09,27,18.5,1,Y
IDCJAC0010,066214,2024,09,28,20.7,1,Y
IDCJAC0010,066214,2024,09,29,20.2,1,Y
IDCJAC0010,066214,2024,09,30,20.7,1,Y
IDCJAC0010,066214,2024,10,01,21.9,1,Y
IDCJAC0010,066214,2024,10,02,20.7,1,Y
IDCJAC0010,066214,2024,10,03,21.8,1,Y
IDCJAC0010,066214,2024,10,04,23.1,1,Y
IDCJAC0010,066214,2024,10,05,27.1,1,Y
IDCJAC0010,066214,2024,10,06,29.0,1,Y
IDCJAC0010,066214,2024,10,07,29.6,1,Y
IDCJAC0010,066214,2024,10,08,16.4,1,Y
IDCJAC0010,066214,2024,10,09,17.7,1,Y
IDCJAC0010,066214,2024,10,10,23.3,1,Y
IDCJAC0010,066214,2024,10,11,24.0,1,Y
IDCJAC0010,066214,2024,10,12,19.5,1,Y
IDCJAC0010,066214,2024,10,13,22.1,1,Y
IDCJAC0010,066214,2024,10,14,25.0,1,Y
IDCJAC0010,066214,2024,10,15,18.2,1,Y
IDCJAC0010,066214,2024,10,16,20.0,1,Y
IDCJAC0010,066214,2024,10,17,22.6,1,Y
IDCJAC0010,066214,2024,10,18,25.5,1,Y
IDCJAC0010,066214,2024,10,19,24.6,1,Y
IDCJAC0010,066214,2024,10,20,22.5,1,Y
IDCJAC0010,066214,2024,10,21,21.6,1,Y
IDCJAC0010,066214,2024,10,22,22.9,1,Y
IDCJAC0010,066214,2024,10,23,26.0,1,Y
IDCJAC0010,066214,2024,10,24,22.5,1,Y
